学号,姓名,成绩
168,李开富,73
206,张广才,45
99,高尚德,71
97,李书诚,95
169,王子久,48
220,吴立功,89
153,孙寿康,58
193,刘长胜,100
136,孙天民,55
108,冷德友,82
190,刘造时,84
100,刁富贵,67
208,吕德榜,65
186,罗元发,45
140,赵德荣,60
13,章汉夫,48
179,王仁兴,85
36,宗敬先,65
118,蔡德霖,79
69,于学忠,56
4,谢大海,74
15,林君雄,54
92,李文信,50
147,钱运高,88
191,刘乃超,84
133,郑义,83
86,吴克俭,78
62,节振国,53
102,汤念祖,84
215,吴国梁,82
54,何光宗,41
221,李大江,80
71,马连良,94
53,吕显祖,82
137,赵大华,91
34,马继祖,58
156,孙应吉,43
149,钱生禄,86
199,张国柱,82
116,贾德善,40
201,张志远,52
173,刘宝瑞,43
33,张绍祖,51
8,马宏宇,59
143,钱汉祥,80
197,张成基,74
134,贾怡,48
3,高大山,68
209,吕文达,78
17,谭平山,75
29,李四光,96
213,吴家栋,98
224,张石山,73
88,杨惟义,100
35,程孝先,69
162,李秉贵,86
75,李宗仁,97
14,范长江,91
176,关玉和,43
141,赵德茂,77
230,王海,80
109,安怡孙,65
57,孙念祖,98
2,彭万里,97
81,余克勤,90
28,朱希亮,41
160,孙顺达,99
167,李厚福,99
106,何光宗,97
139,赵进喜,73
73,胡宝善,68
95,王德茂,82
68,郝爱民,54
42,年广嗣,43
129,关仁,43
31,甘铁生,54
180,李际泰,92
61,马建国,91
44,汤绍箕,62
98,杨勇,57
172,刘永生,75
78,洪学智,67
104,吕奉先,77
9,林莽,46
12,黄强辉,89
64,冯兴国,86
